"","SOURCE_STRING","TRANSLATION","Context 20"
"","source string 0","TRANSLATION","Context 20"
"","source string 1","TRANSLATION","Context 20"
"","source string 2","TRANSLATION","Context 20"
"","source string 3","TRANSLATION","Context 20"
"","source string 4","TRANSLATION","Context 20"
"","source string 5","TRANSLATION","Context 20"
"","source string 6","TRANSLATION","Context 20"
"","source string 7","TRANSLATION","Context 20"
"","source string 8","TRANSLATION","Context 20"
"","source string 9","TRANSLATION","Context 20"
"","source string 10","TRANSLATION","Context 20"
"","source string 11","TRANSLATION","Context 20"
"","source string 12","TRANSLATION","Context 20"
"","source string 13","TRANSLATION","Context 20"
"","source string 14","TRANSLATION","Context 20"
"","source string 15","TRANSLATION","Context 20"
"","source string 16","TRANSLATION","Context 20"
"","source string 17","TRANSLATION","Context 20"
"","source string 18","TRANSLATION","Context 20"
"","source string 19","TRANSLATION","Context 20"
"","source string 20","TRANSLATION","Context 20"